Brand,Model,Maximum PDR,Low Light ISO,Low Light EV,Read Noise ISO,Sensor Width,Sensor Height,Pixel Width,Pixel Height,Mount
Sony,a7 III,11.50,6210,10.96,,35.6,23.8,6026,4017,E
Sony,a7S,11.16,6038,10.92,81463,35.6,23.8,4288,2848,E
Sony,a7S II,10.32,5899,10.88,,35.8,23.8,4256,2848,E
Nikon,D5,9.42,7178,11.17,102400,35.8,23.9,5584,3728,F FX
Leica,M Monochrom (Typ 246),10.2,5215,10.7,12800,35.8,23.9,6000,4000,M
Nikon,D4s,10.47,4956,10.63,12800,36.0,23.9,4936,3288,F FX
Nikon,D3s,9.08,4307,10.43,12800,36.0,23.9,4288,2844,F FX
Canon,EOS 1D X Mark II,10.46,5189,10.7,51200,36.0,24.0,5496,3670,EF
Nikon,Df,10.25,4726,10.56,25600,36.0,23.9,4992,3292,F FX
Sony,a7R II,11.42,6800,11.09,25600,35.9,24.0,8000,5320,E
Nikon,D750,11.82,5270,10.72,8045,35.9,24.0,6032,4032,F FX
Canon,EOS 1D X,9.15,4660,10.54,51200,36.0,24.0,5202,3533,EF
Nikon,D4,10.38,4494,10.49,25600,36.0,23.9,4992,3292,F FX
Leica,M10,10.6,4370,10.45,20366,36.0,24.0,6000,4000,M
Sony,a99 II,11.25,5802,10.86,25600,35.9,24.0,8000,5320,A
Canon,EOS 5D Mark IV,10.83,5011,10.65,32180,36.0,24.0,6880,4544,EF
Canon,EOS 6D,9.52,4070,10.35,25600,35.8,23.9,5568,3708,EF
Fujifilm,X-T20,10.05,3622,10.18,25600,23.6,15.6,6058,4012,X
Nikon,D610,11.61,3969,10.31,1600,35.9,24.0,6080,4028,F FX
Fujifilm,X-E2,10.13,3086,9.95,2546,23.6,15.6,4962,3286,X
Sony,a7 II,11.16,3863,10.27,20366,35.8,23.9,6024,4024,E
Nikon,D600,11.46,3871,10.27,1600,35.9,24.0,6080,4028,F FX
Fujifilm,X-Pro2,9.81,3487,10.12,25600,23.6,15.6,6058,4012,X
Nikon,D810A,10.68,4401,10.46,10183,35.9,24.0,7380,4928,F FX
Canon,EOS 5D Mark III,9.25,3652,10.19,25600,36.0,24.0,5920,3950,EF
Nikon,D800E,11.46,4299,10.43,1600,35.9,24.0,7424,4924,F FX
Sony,a7R,11.71,4108,10.36,20366,35.9,24.0,7392,4920,E
Fujifilm,X-T2,10,3179,9.99,25600,23.6,15.6,6058,4012,X
Nikon,D800,11.42,3984,10.32,1600,35.9,24.0,7424,4924,F FX
Nikon,D3,9.23,2536,9.66,6400,36.0,23.9,4288,2844,F FX
Canon,EOS 5D Mark II,9.14,3123,9.96,6400,36.0,24.0,5634,3753,EF
Nikon,D700,9.13,2475,9.63,1273,36.0,23.9,4288,2844,F FX
Canon,EOS 5DS R,9.8,4145,10.37,6400,36.0,24.0,8736,5856,EF
Fujifilm,X-E1,9.56,2423,9.6,2546,23.6,15.6,4962,3286,X
Sony,a6300,10.81,2756,9.78,5091,23.5,15.6,6024,4024,E
Nikon,D810,11.6,3439,10.1,2546,35.9,24.0,7380,4928,F FX
Pentax,K-1,11.43,3435,10.1,51200,35.9,24.0,7392,4950,K
Olympus,OM-D E-M1 Mark II,9.84,3603,10.17,12800,17.4,13.0,5240,3912,Four Thirds
Leica,M (Typ 240),10.05,2428,9.6,6400,36.0,24.0,5984,4000,M
Sony,a7,10.82,2743,9.78,20366,35.8,23.9,6024,4024,E
Canon,EOS 5DS,9.52,3592,10.17,,36.0,24.0,8736,5856,EF
Sony,a6500,10.41,2479,9.63,,23.5,15.6,6024,4024,E
Sony,a99,11.44,2631,9.72,6400,35.8,23.9,6024,4024,A
Fujifilm,X-Pro1,9.32,1959,9.29,,23.6,15.6,4962,3286,X
Nikon,D3x,10.44,2468,9.63,1600,35.9,24.0,6080,4044,F FX
Canon,EOS 1D Mark III,8.99,2074,9.37,3200,28.7,18.7,3984,2622,EF
Fujifilm,X-T1,9.65,1901,9.25,1600,23.6,15.6,4962,3286,X
Canon,EOS 5D,8.34,1881,9.23,1600,35.8,23.8,4476,2954,EF
Sony,a6000,10.24,2088,9.38,10183,23.5,15.6,6024,4024,E
Sony,NEX-5N,10.24,1714,9.1,6400,23.5,15.6,4928,3276,E
Canon,EOS 1D Mark IV,9.56,2234,9.48,12800,27.9,18.6,4896,3264,EF
Canon,EOS 1Ds Mark II,8.87,1873,9.23,1600,36.0,24.0,5108,3348,EF
Olympus,PEN-F,9.43,2535,9.66,6400,17.4,13.0,5200,3904,Four Thirds
Sony,a5100,9.69,1861,9.22,,23.5,15.6,6024,4024,E
Nikon,D500,10.66,2557,9.68,20366,23.5,15.7,5599,3728,F DX
Sony,NEX-3N,9.07,1541,8.95,,23.5,15.6,4928,3276,E
Sony,NEX-F3,9.01,1536,8.94,3200,23.5,15.6,4928,3276,E
Olympus,OM-D E-M10 Mark II,9.32,2176,9.44,,17.3,13.0,4640,3472,Four Thirds
Olympus,OM-D E-M5 Mark II,9.32,2174,9.44,3200,17.3,13.0,4640,3472,Four Thirds
Canon,EOS 1Ds Mark III,9.06,1834,9.2,,36.0,24.0,5712,3774,EF
Sony,NEX-C3,8.93,1499,8.91,,23.5,15.6,4928,3280,E
Sony,NEX-6,9.83,1492,8.9,,23.5,15.6,4912,3264,E
Olympus,OM-D E-M5,9.27,2115,9.4,3200,17.3,13.0,4640,3472,Four Thirds
Leica,Q (Typ 116),9.66,3019,9.92,6400,36.0,24.0,6016,4016,Fixed
Olympus,PEN E-P5,8.97,2081,9.38,,17.3,13.0,4640,3472,Four Thirds
Sony,NEX-5R,9.82,1449,8.86,,23.5,15.6,4928,3276,E
Leica,SL (Typ 601),10.81,2619,9.71,6400,36.0,24.0,6016,4016,L
Olympus,PEN E-PL7,9.23,2022,9.34,,17.3,13.0,4640,3472,Four Thirds
Sony,NEX-5T,9.76,1403,8.81,,23.4,15.6,4928,3276,E
Sony,a3000,9.97,1490,8.9,6400,23.5,15.6,5496,3656,E
Olympus,PEN E-PL5,9.15,1956,9.29,,17.3,13.0,4640,3472,Four Thirds
Olympus,PEN E-PM2,9.09,1898,9.25,,17.3,13.0,4640,3472,Four Thirds
Olympus,OM-D E-M10,9.1,1869,9.22,12800,17.3,13.0,4640,3472,Four Thirds
Nikon,D7200,11.06,2252,9.49,8045,23.5,15.6,6016,4016,F DX
Sony,a5000,9.92,1420,8.83,10183,23.2,15.4,5496,3656,E
Panasonic,Lumix DMC-GX8,9.82,1993,9.32,12800,17.3,13.0,5200,3904,Four Thirds
Canon,EOS M3,9.02,1549,8.95,12800,22.3,14.9,6024,4022,EF-M
Leica,S (Typ 007),11.36,6400,11,6400,45.0,30.0,7520,5000,S
Sony,NEX-5,8.74,1212,8.6,,23.4,15.6,4608,3072,E
Fujifilm,X100F,10.29,3826,10.26,12800,23.6,15.6,6058,4012,Fixed
Nikon,D3400,10.47,2174,9.44,,23.5,15.6,6016,4016,F DX
Nikon,D90,9.36,1636,9.03,1600,23.6,15.8,4310,2868,F DX
Nikon,D7100,10.66,2085,9.38,6400,23.5,15.6,6036,4020,F DX
Nikon,D5200,10.58,2062,9.37,6400,23.5,15.6,6036,4020,F DX
Sony,NEX-3,8.65,1115,8.48,,23.4,15.6,4608,3072,E
Panasonic,Lumix DMC-GH4,9.53,1640,9.04,,17.3,13.0,4624,3472,Four Thirds
Nikon,D5300,10.47,1965,9.3,8045,23.5,15.6,6016,4016,F DX
Nikon,D3300,10.12,1964,9.3,12800,23.5,15.6,6016,4016,F DX
Hasselblad,X1D-50c,11.98,9058,11.5,3200,43.8,32.9,8272,6200,XCD
Canon,EOS 7D Mark II,9.06,1901,9.25,16090,22.4,15.0,5496,3670,EF-S
Nikon,D5600,10.57,1937,9.28,,23.5,15.6,6016,4016,F DX
Nikon,D5000,9.3,1501,8.91,1600,23.6,15.8,4310,2868,F DX
Nikon,D5500,10.67,1917,9.26,2546,23.5,15.6,6016,4016,F DX
Canon,EOS 50D,9.01,1674,9.07,,22.3,14.9,4770,3177,EF-S
Canon,EOS M,8.4,1201,8.59,12800,22.3,14.9,5280,3528,EF-M
Sony,NEX-7,10.02,1266,8.66,,23.5,15.6,6024,4024,E
Olympus,OM-D E-M1,9.12,1536,8.94,6400,17.3,13.0,4640,3472,Four Thirds
